Dessert Name,Dessert Category,Country/Region of Origin,Continent,Texture 1,Texture 2
Tiramisú,Custard,Italy,Europe,Creamy,
Polvorónes,Cookie,Latin America,,Crumbly,
Polvorónes,Cookie,Spain,Europe,Crumbly,
Polvorónes,Cookie,Philippines,Asia,Crumbly,
New York Cheesecake,Cake,United States,North America,Creamy,Crumbly
Japanese Cheesecake,Cake,Japan,Asia,Creamy,Fluffy
Gâteau Fondant au Chocolat,Cake,France,Europe,Fluffy,Gooey
Gelato,Frozen,Italy,Europe,Creamy,
Alfajores,Cookie,,South America,Crumbly,Gooey
Baklava,Confection,Turkey,Europe,Gooey,
Borma,Pastry,Middle East,,Crispy,
Borma,Pastry,Turkey,Europe,Crispy,
Crème Brûlée,Custard,France,Europe,Crispy,Creamy
Pavlova,Candy,Australia,Australia,Crunchy,Creamy
Pavlova,Candy,New Zealand,Australia,Crunchy,Creamy
Saffron Ice Cream,Frozen,Iran,Asia,Creamy,
Trifle,Cake,United Kingdom,Europe,Fluffy,Creamy
Xue Hua Bing,Frozen,Taiwan,Asia,Crunchy,Creamy
Rigó Jancsi,Cake,Hungary,Europe,Fluffy,
Mandazi,Pastry,South Sudan,Africa,Crispy,
Lemon Tart,Pastry,France,Europe,Crumbly,
Flan,Custard,Latin America,,Creamy,
Chocolate Chip Cookie,Cookie,United States,North America,Crumbly,
Doughnut,Pastry,United States,North America,Chewy,
Gulab Jamun,Pastry,India,Asia,Chewy,
Oliebollen,Pastry,Netherlands,Europe,Crispy,Crunchy
